author,paper_count,total_citations,avg_citations
Leslie Caroline Le Meunier-FitzHugh,1,4015,4015.0
Kuttimani Tamilmani,1,4015,4015.0
Laurie Hughes,1,4015,4015.0
Elvira Ismagilova,1,4015,4015.0
Gert Aarts,1,4015,4015.0
Crispin Coombs,1,4015,4015.0
Tom Crick,1,4015,4015.0
Yanqing Duan,1,4015,4015.0
Rohita Dwivedi,1,4015,4015.0
John S. Edwards,1,4015,4015.0
Aled Eirug,1,4015,4015.0
Vassilis Galanos,1,4015,4015.0
P. Vigneswara Ilavarasan,1,4015,4015.0
Marijn Janssen,1,4015,4015.0
Paul Jones,1,4015,4015.0
Arpan Kumar Kar,1,4015,4015.0
Hatice Kizgin,1,4015,4015.0
Bianca Kronemann,1,4015,4015.0
Banita Lal,1,4015,4015.0
Biagio Lucini,1,4015,4015.0
Rony Medaglia,1,4015,4015.0
Kenneth Le Meunier‐FitzHugh,1,4015,4015.0
Annie Tubadji,1,4015,4015.0
Santosh K. Misra,1,4015,4015.0
Emmanuel Mogaji,1,4015,4015.0
Sujeet Kumar Sharma,1,4015,4015.0
Jang Bahadur Singh,1,4015,4015.0
Vishnupriya Raghavan,1,4015,4015.0
Ramakrishnan Raman,1,4015,4015.0
Nripendra P. Rana,1,4015,4015.0
Spyridon Samothrakis,1,4015,4015.0
Yogesh K. Dwivedi,1,4015,4015.0
Jak Spencer,1,4015,4015.0
Michael D. Williams,1,4015,4015.0
Paul Walton,1,4015,4015.0
Ben Eaton,1,465,465.0
Kari Koskinen,1,465,465.0
Annabelle Gawer,1,465,465.0
Carla Bonina,1,465,465.0
Michael Woolcock,1,334,334.0
Matt Andrews,1,334,334.0
Lant Pritchett,1,334,334.0
Lindsay C. Stringer,1,309,309.0
Evan Fraser,1,309,309.0
Christopher J. Lyon,1,309,309.0
Laura Pereira,1,309,309.0
Caroline Ward,1,309,309.0
Elisabeth Simelton,1,309,309.0
D. Harris,1,309,309.0
Hazandy Abdul Hamid,1,279,279.0
Arash Bayat Shahbazi,1,279,279.0
Siva K. Balasundram,1,279,279.0
Nastaran Rizan,1,279,279.0
Rambod Abiri,1,279,279.0
Oscar Rodríguez-Espíndola,1,253,253.0
Soumyadeb Chowdhury,1,253,253.0
Prasanta Kumar Dey,1,253,253.0
Pável Albores,1,253,253.0
Ali Emrouznejad,1,253,253.0
Martin Wermelinger,1,243,243.0
Sam Mealy,1,243,243.0
Carl J. Dahlman,1,243,243.0
Mohammad Ariful Alam,1,133,133.0
Meike Schleiff,1,133,133.0
Iain Aitken,1,133,133.0
Zufan Abera Damtew,1,133,133.0
Henry B. Perry,1,133,133.0
Jean Burgess,1,120,120.0
Julian Thomas,1,120,120.0
Chris Wilson,1,120,120.0
Amber Marshall,1,120,120.0
Michael Dezuanni,1,120,120.0
Anna Kazanskaia,1,73,73.0
Neya Global,1,73,73.0
Nani Harlinda Nurdin,1,10,10.0
Dzulkifli .,1,10,10.0
Zarni Adia Purna,1,10,10.0
Anna Neya Kazanskaia,1,3,3.0
Bianca Christina Weber-Lewerenz,1,2,2.0
Walter H Curioso,1,2,2.0
Hailu,1,0,0.0
Carter,1,0,0.0
J.L.,1,0,0.0
Norman,1,0,0.0
P.L.,1,0,0.0
Félix,1,0,0.0
Georges,1,0,0.0
Timmermann,1,0,0.0
Cristian,1,0,0.0
Tittonell,1,0,0.0
Pablo,1,0,0.0
Addom,1,0,0.0
Benjamin K.,1,0,0.0
Michael,2,0,0.0
Steve Worth,1,0,0.0
Totapally,1,0,0.0
Swetha,1,0,0.0
Tsan,1,0,0.0
Balázs,1,0,0.0
Bálint,1,0,0.0
Nemes,1,0,0.0
Gusztáv,1,0,0.0
Tisenkopfs,1,0,0.0
Talis,1,0,0.0
Mushunje,1,0,0.0
Abbyssinia,1,0,0.0
Nhundu,1,0,0.0
Anonymous,1,0,0.0
Edinaldo,1,0,0.0
Tebaldi,1,0,0.0
Anatol,1,0,0.0
Sithembiso Ndlela,1,0,0.0
Manoj Kumar Dash,1,0,0.0
Sukanya Pandey,1,0,0.0
Ahlis Noor Kholili,1,0,0.0
CGIAR Research Program on Climate Change,1,0,0.0
Agriculture and Food Security,1,0,0.0
Arnold,1,0,0.0
Tom,1,0,0.0
Baudouin,1,0,0.0
Michel,1,0,0.0
Blokland,1,0,0.0
Kees,1,0,0.0
Engel,1,0,0.0
Albert,1,0,0.0
Losch,1,0,0.0
Bruno,1,0,0.0
Rampa,1,0,0.0
Francesco,1,0,0.0
Speranza,1,0,0.0
Chinwe Ifejika,1,0,0.0
Wieck,1,0,0.0
Christine,1,0,0.0
Zvarimwa,1,0,0.0
Mashiri,1,0,0.0
Gobjila,1,0,0.0
K.,1,0,0.0
