doi,title,url,open_access,source
10.5772/intechopen.102678,Education and Training in the Digital Era: A Compass for “Building Forward Better”,https://doi.org/10.5772/intechopen.102678,True,Crossref
10.2196/preprints.16513,Building Capacity and Training for Digital Health: Challenges and Opportunities in Latin America (Preprint),https://doi.org/10.2196/preprints.16513,True,Crossref
10.71200/diasya.v1i1.44,"Computer Network Training ""Building Creativity through Wifi Corner Networks in the Digital Era""",https://doi.org/10.71200/diasya.v1i1.44,True,Crossref
10.1108/ejtd-10-2025-0242,Building competent IT freshers: modelling digital era training frameworks,https://doi.org/10.1108/ejtd-10-2025-0242,True,Crossref
10.5772/intechopen.112260,Perspective Chapter: Building Farmer Capacity through Agricultural Extension - A Model for True Capacity,https://doi.org/10.5772/intechopen.112260,True,Crossref
10.48060/tghn.69,nan,https://doi.org/10.48060/tghn.69,True,Crossref
10.4324/9780203416174-28,Informatics teacher training in Hungary: building community and capacity with tele-houses,https://doi.org/10.4324/9780203416174-28,True,Crossref
10.64357/neya-gjnps-trdgvl-01,Training Digital Volunteers: Strategies for Capacity Building in Non-Profit Organizations,https://doi.org/10.64357/neya-gjnps-trdgvl-01,True,Crossref
10.18502/kss.v8i17.14121,Unleashing the Power of Capacity Building: Transforming Governance and Policy Implementation in the Digital Era,https://doi.org/10.18502/kss.v8i17.14121,True,Crossref
10.1016/j.techfore.2022.121562,Analysis of the adoption of emergent technologies for risk management in the era of digital manufacturing,https://openalex.org/W4283378156,True,OpenAlex
10.1016/j.jrurstud.2020.09.001,Australian farmers left behind in the digital economy – Insights from the Australian Digital Inclusion Index,https://openalex.org/W3088509261,True,OpenAlex
10.1016/j.envsci.2019.10.007,Adaptation and development pathways for different types of farmers,https://openalex.org/W2960639155,True,OpenAlex
10.1093/acprof:oso/9780198747482.001.0001,"Building State Capability: Evidence, Analysis, Action",https://openalex.org/W3044063500,True,OpenAlex
10.1111/isj.12326,Digital platforms for development: Foundations and research agenda,https://openalex.org/W3127663722,True,OpenAlex
10.64357/capacity-building-in-developing-countries-2025,Capacity Building in Developing Countries,https://openalex.org/W4413241520,True,OpenAlex
10.1186/s12961-021-00757-3,"Community health workers at the dawn of a new era: 6. Recruitment, training, and continuing education",https://openalex.org/W3206443651,True,OpenAlex
10.1016/j.heliyon.2023.e22601,Application of digital technologies for ensuring agricultural productivity,https://openalex.org/W4388870743,True,OpenAlex
10.1016/j.ijinfomgt.2019.08.002,"Artificial Intelligence (AI): Multidisciplinary perspectives on emerging challenges, opportunities, and agenda for resea",https://openalex.org/W2969625533,True,OpenAlex
10.1787/4adffb24-en,Harnessing the digital economy for developing countries,https://openalex.org/W2582103037,True,OpenAlex
nan,"The SmartAG partner: CCAFS East Africa Bi-Annual Newsletter, July - December 2019",https://core.ac.uk/download/294831701.pdf,True,CORE
nan,An Africa-Europe agenda for rural transformation. Report by the Task Force Rural Africa,https://core.ac.uk/download/286464895.pdf,True,CORE
nan,Romania -- Systematic Country Diagnostic: background note-agriculture (English),https://core.ac.uk/download/212883999.pdf,True,CORE
nan,COMMUNITY BASED RESOURCE PLANNING - Studies from Zimbabwe and Northern Australia,https://core.ac.uk/download/pdf/6698919.pdf,True,CORE
nan,"Aquaculture Asia, Vol.13, No.3, pp.1-60, July-September 2008",https://core.ac.uk/download/11017797.pdf,True,CORE
10.1080/21683565.2017.1359807,Food sovereignty and consumer sovereignty: two antagonistic goals?,https://core.ac.uk/download/185244892.pdf,True,CORE
nan,The Digitalisation of African Agriculture Report 2018-2019,https://core.ac.uk/download/220111121.pdf,True,CORE
nan,Urban food strategies in Central and Eastern Europe: what's specific and what's at stake?,https://core.ac.uk/download/18544754.pdf,True,CORE
nan,Rockefeller Foundation - 1999 Annual Report,https://core.ac.uk/download/71354605.pdf,True,CORE
nan,"ANALYSIS OF IRRIGATION DEVELOPMENT POST FAST TRACK LAND REFORM PROGRAMME. A CASE STUDY OF GOROMONZI DISTRICT, MASHONALAN",https://core.ac.uk/download/pdf/6614507.pdf,True,CORE
