doi,title,year,citation_count,pagerank,betweenness,in_degree,out_degree,hub_score,authority_score
10.18502/kss.v8i17.14121,Unleashing the Power of Capacity Building: Transforming Governance and Policy Implementation in the Digital Era,2023,10,0.251379,0.0,1,1,0.821899,0.821899
10.1016/j.ijinfomgt.2019.08.002,"Artificial Intelligence (AI): Multidisciplinary perspectives on emerging challenges, opportunities, and agenda for resea",2019,4015,0.069771,0.0,1,0,0.0,0.178101
10.5772/intechopen.102678,Education and Training in the Digital Era: A Compass for “Building Forward Better”,2022,2,0.037714,0.0,0,0,0.0,0.0
10.1016/j.envsci.2019.10.007,Adaptation and development pathways for different types of farmers,2019,309,0.037714,0.0,0,0,0.0,0.0
10.1787/4adffb24-en,Harnessing the digital economy for developing countries,2016,243,0.037714,0.0,0,0,0.0,0.0
10.1016/j.heliyon.2023.e22601,Application of digital technologies for ensuring agricultural productivity,2023,279,0.037714,0.0,0,0,0.0,0.0
10.1186/s12961-021-00757-3,"Community health workers at the dawn of a new era: 6. Recruitment, training, and continuing education",2021,133,0.037714,0.0,0,0,0.0,0.0
10.64357/capacity-building-in-developing-countries-2025,Capacity Building in Developing Countries,2025,73,0.037714,0.0,0,0,0.0,0.0
10.1111/isj.12326,Digital platforms for development: Foundations and research agenda,2021,465,0.037714,0.0,0,0,0.0,0.0
10.1093/acprof:oso/9780198747482.001.0001,"Building State Capability: Evidence, Analysis, Action",2017,334,0.037714,0.0,0,0,0.0,0.0
10.1016/j.jrurstud.2020.09.001,Australian farmers left behind in the digital economy – Insights from the Australian Digital Inclusion Index,2020,120,0.037714,0.0,0,0,0.0,0.0
10.2196/preprints.16513,Building Capacity and Training for Digital Health: Challenges and Opportunities in Latin America (Preprint),2019,2,0.037714,0.0,0,0,0.0,0.0
10.1016/j.techfore.2022.121562,Analysis of the adoption of emergent technologies for risk management in the era of digital manufacturing,2022,253,0.037714,0.0,0,1,0.178101,0.0
10.64357/neya-gjnps-trdgvl-01,Training Digital Volunteers: Strategies for Capacity Building in Non-Profit Organizations,2025,3,0.037714,0.0,0,0,0.0,0.0
10.4324/9780203416174-28,Informatics teacher training in Hungary: building community and capacity with tele-houses,2013,0,0.037714,0.0,0,0,0.0,0.0
10.48060/tghn.69,nan,2023,0,0.037714,0.0,0,0,0.0,0.0
10.5772/intechopen.112260,Perspective Chapter: Building Farmer Capacity through Agricultural Extension - A Model for True Capacity,2023,0,0.037714,0.0,0,0,0.0,0.0
10.1108/ejtd-10-2025-0242,Building competent IT freshers: modelling digital era training frameworks,2026,0,0.037714,0.0,0,0,0.0,0.0
10.71200/diasya.v1i1.44,"Computer Network Training ""Building Creativity through Wifi Corner Networks in the Digital Era""",2025,0,0.037714,0.0,0,0,0.0,0.0
10.1080/21683565.2017.1359807,Food sovereignty and consumer sovereignty: two antagonistic goals?,2017,0,0.037714,0.0,0,0,0.0,0.0
