doi,title,authors,year,citation_count,pagerank,authority_score,neglect_score
10.18502/kss.v8i17.14121,Unleashing the Power of Capacity Building: Transforming Governance and Policy Implementation in the Digital Era,"Dzulkifli ., Nani Harlinda Nurdin, Zarni Adia Purna",2023,10,0.251379,0.821899,0.1797
10.71200/diasya.v1i1.44,"Computer Network Training ""Building Creativity through Wifi Corner Networks in the Digital Era""",Ahlis Noor Kholili,2025,0,0.037714,0.0,0.0754
10.1108/ejtd-10-2025-0242,Building competent IT freshers: modelling digital era training frameworks,"Sukanya Pandey, Manoj Kumar Dash",2026,0,0.037714,0.0,0.0754
10.5772/intechopen.112260,Perspective Chapter: Building Farmer Capacity through Agricultural Extension - A Model for True Capacity,"Sithembiso Ndlela, Steve Worth",2023,0,0.037714,0.0,0.0503
10.48060/tghn.69,nan,nan,2023,0,0.037714,0.0,0.0503
10.1080/21683565.2017.1359807,Food sovereignty and consumer sovereignty: two antagonistic goals?,"Félix, Georges, Timmermann, Cristian, Tittonell, Pablo",2017,0,0.037714,0.0,0.0419
10.4324/9780203416174-28,Informatics teacher training in Hungary: building community and capacity with tele-houses,nan,2013,0,0.037714,0.0,0.0406
10.64357/neya-gjnps-trdgvl-01,Training Digital Volunteers: Strategies for Capacity Building in Non-Profit Organizations,", Anna Neya Kazanskaia",2025,3,0.037714,0.0,0.0316
10.5772/intechopen.102678,Education and Training in the Digital Era: A Compass for “Building Forward Better”,Bianca Christina Weber-Lewerenz,2022,2,0.037714,0.0,0.0225
10.2196/preprints.16513,Building Capacity and Training for Digital Health: Challenges and Opportunities in Latin America (Preprint),Walter H Curioso,2019,2,0.037714,0.0,0.0205
